Origin,Destination,Date,Price
BFD,WIN,25-06-2019,31.3
BFD,WIN,26-06-2019,31.1
BFD,WIN,27-06-2019,31.1
BFD,WIN,28-06-2019,31.1
BFD,WIN,29-06-2019,30.9
BFD,WIN,30-06-2019,30.9
BFD,WIN,01-07-2019,28.4
BFD,WIN,02-07-2019,28.4
BFD,WIN,03-07-2019,28.4
BFD,WIN,04-07-2019,28.4
BFD,WIN,05-07-2019,28.4
BFD,WIN,06-07-2019,30.9
BFD,WIN,07-07-2019,30.9
BFD,WIN,08-07-2019,25.9
BFD,WIN,09-07-2019,25.9
BFD,WIN,10-07-2019,25.9
BFD,WIN,11-07-2019,25.9
BFD,WIN,12-07-2019,25.9
BFD,WIN,13-07-2019,30.9
BFD,WIN,14-07-2019,30.9
BFD,WIN,15-07-2019,23.7
BFD,WIN,16-07-2019,23.7
BFD,WIN,17-07-2019,23.7
BFD,WIN,18-07-2019,23.7
BFD,WIN,19-07-2019,23.7
BFD,WIN,20-07-2019,19.0
BFD,WIN,21-07-2019,26.8
BFD,WIN,22-07-2019,23.7
BFD,WIN,23-07-2019,23.7
